sector,segmento,balance.activo_no_corriente.huber_9y,balance.activo_no_corriente.n_años,balance.activo_no_corriente.dato_2024,balance.activo_corriente.huber_9y,balance.activo_corriente.n_años,balance.activo_corriente.dato_2024,balance.existencias_pct.huber_9y,balance.existencias_pct.n_años,balance.existencias_pct.dato_2024,balance.realizable_pct.huber_9y,balance.realizable_pct.n_años,balance.realizable_pct.dato_2024,balance.disponible_pct.huber_9y,balance.disponible_pct.n_años,balance.disponible_pct.dato_2024,balance.patrimonio_neto_pct.huber_9y,balance.patrimonio_neto_pct.n_años,balance.patrimonio_neto_pct.dato_2024,balance.pasivo_no_corriente_pct.huber_9y,balance.pasivo_no_corriente_pct.n_años,balance.pasivo_no_corriente_pct.dato_2024,balance.deudas_fin_largo_pct.huber_9y,balance.deudas_fin_largo_pct.n_años,balance.deudas_fin_largo_pct.dato_2024,balance.otras_deudas_largo_pct.huber_9y,balance.otras_deudas_largo_pct.n_años,balance.otras_deudas_largo_pct.dato_2024,balance.pasivo_corriente_pct.huber_9y,balance.pasivo_corriente_pct.n_años,balance.pasivo_corriente_pct.dato_2024,balance.acreedores_comerciales_pct.huber_9y,balance.acreedores_comerciales_pct.n_años,balance.acreedores_comerciales_pct.dato_2024,balance.deudas_fin_corto_pct.huber_9y,balance.deudas_fin_corto_pct.n_años,balance.deudas_fin_corto_pct.dato_2024,balance.otras_deudas_corto_pct.huber_9y,balance.otras_deudas_corto_pct.n_años,balance.otras_deudas_corto_pct.dato_2024,pyg.cifra_negocios_pct.huber_9y,pyg.cifra_negocios_pct.n_años,pyg.cifra_negocios_pct.dato_2024,pyg.otros_ingresos_explot_pct.huber_9y,pyg.otros_ingresos_explot_pct.n_años,pyg.otros_ingresos_explot_pct.dato_2024,pyg.ingresos_explotacion_pct.huber_9y,pyg.ingresos_explotacion_pct.n_años,pyg.ingresos_explotacion_pct.dato_2024,pyg.consumos_explotacion_pct.huber_9y,pyg.consumos_explotacion_pct.n_años,pyg.consumos_explotacion_pct.dato_2024,pyg.margen_bruto_pct.huber_9y,pyg.margen_bruto_pct.n_años,pyg.margen_bruto_pct.dato_2024,pyg.otros_gastos_explot_pct.huber_9y,pyg.otros_gastos_explot_pct.n_años,pyg.otros_gastos_explot_pct.dato_2024,pyg.valor_añadido_pct.huber_9y,pyg.valor_añadido_pct.n_años,pyg.valor_añadido_pct.dato_2024,pyg.gastos_personal_pct.huber_9y,pyg.gastos_personal_pct.n_años,pyg.gastos_personal_pct.dato_2024,pyg.amortizaciones_pct.huber_9y,pyg.amortizaciones_pct.n_años,pyg.amortizaciones_pct.dato_2024,pyg.resultado_extraordinario_pct.huber_9y,pyg.resultado_extraordinario_pct.n_años,pyg.resultado_extraordinario_pct.dato_2024,pyg.baii_pct.huber_9y,pyg.baii_pct.n_años,pyg.baii_pct.dato_2024,pyg.ingresos_financieros_pct.huber_9y,pyg.ingresos_financieros_pct.n_años,pyg.ingresos_financieros_pct.dato_2024,pyg.gastos_financieros_pct.huber_9y,pyg.gastos_financieros_pct.n_años,pyg.gastos_financieros_pct.dato_2024,pyg.bai_pct.huber_9y,pyg.bai_pct.n_años,pyg.bai_pct.dato_2024,pyg.impuesto_beneficios_pct.huber_9y,pyg.impuesto_beneficios_pct.n_años,pyg.impuesto_beneficios_pct.dato_2024,pyg.resultado_ejercicio_pct.huber_9y,pyg.resultado_ejercicio_pct.n_años,pyg.resultado_ejercicio_pct.dato_2024,ratios.liquidez.huber_9y,ratios.liquidez.n_años,ratios.liquidez.dato_2024,ratios.tesoreria.huber_9y,ratios.tesoreria.n_años,ratios.tesoreria.dato_2024,ratios.disponibilidad_ratio.huber_9y,ratios.disponibilidad_ratio.n_años,ratios.disponibilidad_ratio.dato_2024,ratios.fm_ventas.huber_9y,ratios.fm_ventas.n_años,ratios.fm_ventas.dato_2024,ratios.fm_activo.huber_9y,ratios.fm_activo.n_años,ratios.fm_activo.dato_2024,ratios.endeudamiento.huber_9y,ratios.endeudamiento.n_años,ratios.endeudamiento.dato_2024,ratios.calidad_deuda.huber_9y,ratios.calidad_deuda.n_años,ratios.calidad_deuda.dato_2024,ratios.capacidad_devolucion.huber_9y,ratios.capacidad_devolucion.n_años,ratios.capacidad_devolucion.dato_2024,ratios.cobertura_gastos_fin.huber_9y,ratios.cobertura_gastos_fin.n_años,ratios.cobertura_gastos_fin.dato_2024,ratios.coste_deuda.huber_9y,ratios.coste_deuda.n_años,ratios.coste_deuda.dato_2024,ratios.rotacion_activo.huber_9y,ratios.rotacion_activo.n_años,ratios.rotacion_activo.dato_2024,ratios.rotacion_activo_no_corriente.huber_9y,ratios.rotacion_activo_no_corriente.n_años,ratios.rotacion_activo_no_corriente.dato_2024,ratios.rotacion_activo_corriente.huber_9y,ratios.rotacion_activo_corriente.n_años,ratios.rotacion_activo_corriente.dato_2024,ratios.rotacion_existencias.huber_9y,ratios.rotacion_existencias.n_años,ratios.rotacion_existencias.dato_2024,ratios.plazo_existencias.huber_9y,ratios.plazo_existencias.n_años,ratios.plazo_existencias.dato_2024,ratios.cobro_dias.huber_9y,ratios.cobro_dias.n_años,ratios.cobro_dias.dato_2024,ratios.pago_dias.huber_9y,ratios.pago_dias.n_años,ratios.pago_dias.dato_2024,ratios.financiacion_clientes.huber_9y,ratios.financiacion_clientes.n_años,ratios.financiacion_clientes.dato_2024,ratios.roi.huber_9y,ratios.roi.n_años,ratios.roi.dato_2024,ratios.roe.huber_9y,ratios.roe.n_años,ratios.roe.dato_2024,ratios.flujo_caja_activo.huber_9y,ratios.flujo_caja_activo.n_años,ratios.flujo_caja_activo.dato_2024,ratios.flujo_caja_ventas.huber_9y,ratios.flujo_caja_ventas.n_años,ratios.flujo_caja_ventas.dato_2024,ratios.ventas_empleado.huber_9y,ratios.ventas_empleado.n_años,ratios.ventas_empleado.dato_2024,ratios.beneficio_empleado.huber_9y,ratios.beneficio_empleado.n_años,ratios.beneficio_empleado.dato_2024,ratios.gastos_personal_empleado.huber_9y,ratios.gastos_personal_empleado.n_años,ratios.gastos_personal_empleado.dato_2024
Energía eléctrica prod/transporte/distr (35.1),pequeñas,81.77,9,84.06,18.23,9,15.94,0.834,9,0.57,5.0021,9,3.68,12.3185,9,11.69,32.1543,9,35.52,52.71,9,51.43,20.8863,9,17.24,31.1933,9,34.19,15.7227,9,13.05,1.7236,9,1.07,3.1214,9,2.7,10.0372,9,9.28,97.4853,9,97.17,2.5147,9,2.83,100.0,9,100.0,17.5198,9,18.97,82.4802,9,81.03,23.3958,9,25.76,59.34,9,55.27,6.3079,9,7.1,22.2914,9,23.34,0.0,9,0.0,30.3165,9,24.82,8.372,9,13.04,15.1496,9,20.71,26.0229,9,17.16,3.9302,9,2.85,21.7338,9,14.3,1.1681,9,1.22,1.1081,9,1.18,0.7974,9,0.9,0.1501,9,0.22,0.0233,9,0.03,0.6757,9,0.64,0.226,9,0.2,0.3378,9,0.25,2.0963,9,1.2,0.1163,9,0.14,0.1786,9,0.13,0.22,9,0.16,0.9774,9,0.84,3.887,9,4.46,96.6586,9,81.9,103.0719,9,100.56,204.6471,9,154.03,0.3388,9,0.29,0.0529,9,0.03,0.12,9,0.05,0.076,9,0.05,0.43,9,0.38,740.0861,9,843.51,160.3571,9,120.66,46.4294,9,59.92
"Reparación de prod. metálicos, maquinaria (33.1)",grandes_medianas,27.0787,9,26.61,72.9213,9,73.39,12.7729,9,12.57,31.4472,9,27.82,25.3156,9,33.0,46.817,9,58.96,12.8876,9,9.22,7.3951,9,6.19,5.99,9,3.02,38.7067,9,31.82,11.3452,9,11.07,5.1324,9,4.96,21.9829,9,15.78,99.0154,9,99.21,0.9846,9,0.79,100.0,9,100.0,47.35,9,44.04,52.65,9,55.96,11.9755,9,11.93,40.6856,9,44.03,31.6057,9,32.36,2.1784,9,2.04,0.0,9,0.0,6.9286,9,9.63,0.2512,9,0.55,0.5814,9,0.68,6.6386,9,9.5,1.5771,9,2.14,5.0495,9,7.36,1.8194,9,2.31,1.4496,9,1.91,0.633,9,1.04,0.2556,9,0.36,0.31,9,0.42,0.5318,9,0.41,0.7534,9,0.78,0.7714,9,0.99,13.4657,9,14.07,0.0575,9,0.07,1.2267,9,1.17,4.2888,9,4.4,1.7656,9,1.6,4.4724,9,4.1,81.713,9,88.98,94.1557,9,86.72,72.3633,9,78.4,0.3633,9,0.4,0.0857,9,0.11,0.1325,9,0.15,0.09,9,0.11,0.0738,9,0.09,134.8863,9,139.74,6.6962,9,10.29,42.6267,9,45.23
"Reparación de prod. metálicos, maquinaria (33.1)",pequeñas,30.139,9,26.62,69.861,9,73.38,12.4581,9,12.47,29.7811,9,27.55,28.0378,9,33.35,53.4607,9,59.64,11.5438,9,8.81,8.1793,9,6.55,3.0559,9,2.26,33.4079,9,31.55,12.2744,9,10.9,5.1553,9,4.86,16.0396,9,15.8,99.1778,9,99.23,0.8222,9,0.77,100.0,9,100.0,44.394,9,43.85,55.606,9,56.15,12.5614,9,12.04,43.0933,9,44.1,33.5157,9,32.51,2.1724,9,2.05,0.0,9,0.0,7.2478,9,9.54,0.1919,9,0.53,0.6124,9,0.69,6.8177,9,9.39,1.5536,9,2.11,5.2446,9,7.28,2.1022,9,2.33,1.7289,9,1.93,0.8422,9,1.06,0.3133,9,0.36,0.3689,9,0.42,0.46,9,0.4,0.7472,9,0.78,0.664,9,0.95,11.9676,9,13.91,0.055,9,0.07,1.1778,9,1.16,4.0002,9,4.35,1.68,9,1.58,4.18,9,4.08,87.7211,9,89.51,92.1171,9,86.75,85.6833,9,78.25,0.412,9,0.4,0.0886,9,0.11,0.12,9,0.14,0.0887,9,0.11,0.07,9,0.09,115.3033,9,137.95,6.0559,9,10.04,38.7832,9,44.85
Instalación de máquinas y equipos industriales (33.2),grandes_medianas,38.9745,9,30.25,61.0255,9,69.75,12.0926,9,13.95,24.9895,9,25.55,25.5997,9,30.24,39.6185,9,54.38,20.85,9,10.76,6.6262,9,6.07,12.2096,9,4.69,39.188,9,34.86,10.5767,9,10.34,7.1322,9,4.18,21.1436,9,20.34,99.2503,9,99.35,0.7497,9,0.65,100.0,9,100.0,48.1703,9,46.33,51.8297,9,53.67,10.8814,9,11.27,40.5463,9,42.4,30.2194,9,32.99,2.5968,9,1.47,0.0,9,0.0,8.0689,9,7.94,0.5782,9,0.7,3.2396,9,0.79,5.4325,9,7.85,1.7129,9,1.83,5.0866,9,6.02,1.5046,9,2.0,1.2038,9,1.6,0.6267,9,0.87,0.2721,9,0.32,0.1882,9,0.35,0.6033,9,0.46,0.6715,9,0.76,0.4327,9,0.79,5.6544,9,10.0,0.167,9,0.08,0.8503,9,1.08,2.3244,9,3.57,1.4246,9,1.55,3.47,9,3.58,113.8706,9,101.87,108.1911,9,86.44,97.3469,9,75.49,0.4371,9,0.4,0.0713,9,0.09,0.0901,9,0.12,0.0557,9,0.08,0.0584,9,0.07,145.4671,9,135.4,5.2886,9,8.15,44.3841,9,44.67
Instalación de máquinas y equipos industriales (33.2),pequeñas,27.3567,9,29.77,72.6433,9,70.23,14.0738,9,13.85,30.5456,9,26.06,28.1011,9,30.32,48.1563,9,55.55,11.1201,9,9.64,6.9558,9,5.83,4.2085,9,3.81,39.4267,9,34.81,14.6436,9,10.77,5.2971,9,3.89,19.6535,9,20.15,99.3151,9,99.36,0.6849,9,0.64,100.0,9,100.0,46.8056,9,47.29,53.1944,9,52.71,11.8605,9,11.01,41.135,9,41.71,33.348,9,32.52,1.6189,9,1.47,0.0,9,0.0,5.9379,9,7.71,0.3983,9,0.58,0.6333,9,0.78,5.8178,9,7.51,1.2761,9,1.82,4.5267,9,5.68,1.85,9,2.02,1.4933,9,1.62,0.72,9,0.87,0.2913,9,0.32,0.3367,9,0.35,0.5138,9,0.44,0.7725,9,0.78,0.5643,9,0.81,9.7529,9,9.86,0.0587,9,0.09,1.14,9,1.1,4.1868,9,3.71,1.57,9,1.57,3.811,9,3.77,96.1582,9,96.73,97.1925,9,86.1,101.121,9,75.23,0.4757,9,0.41,0.0687,9,0.09,0.105,9,0.11,0.08,9,0.08,0.0611,9,0.07,117.1374,9,137.49,5.1561,9,7.81,39.3396,9,44.72
Servicios técnicos arquitectura e ingeniería (71),grandes_medianas,39.2744,9,29.8,60.7256,9,70.2,5.7269,9,5.69,31.0845,9,35.71,23.77,9,28.79,40.0497,9,37.67,16.9774,9,15.91,5.0829,9,4.93,11.7509,9,10.98,41.8922,9,46.42,14.2991,9,15.84,3.5635,9,4.18,24.04,9,26.4,98.2244,9,98.33,1.7756,9,1.67,100.0,9,100.0,41.2162,9,40.95,58.7838,9,59.05,14.8971,9,13.75,44.0371,9,45.3,31.4881,9,34.57,2.2473,9,1.97,0.0,9,-0.01,10.1043,9,8.75,2.4844,9,2.67,2.9157,9,2.67,9.4343,9,8.75,1.2239,9,1.43,8.0295,9,7.32,1.4601,9,1.51,1.3318,9,1.39,0.565,9,0.62,0.2811,9,0.28,0.2017,9,0.24,0.5978,9,0.62,0.7072,9,0.74,0.8186,9,0.85,3.4469,9,3.27,0.2257,9,0.25,0.657,9,0.84,1.4918,9,2.81,1.1087,9,1.19,4.9941,9,6.02,73.2176,9,60.6,170.4073,9,155.77,190.4856,9,168.75,0.4578,9,0.44,0.0667,9,0.07,0.148,9,0.16,0.072,9,0.08,0.102,9,0.09,158.4394,9,154.11,13.21,9,11.28,48.5945,9,53.27
Servicios técnicos arquitectura e ingeniería (71),pequeñas,44.2758,9,39.12,55.7242,9,60.88,6.0656,9,5.85,23.8844,9,22.42,24.6799,9,32.61,49.9722,9,52.94,19.94,9,15.11,6.9714,9,5.83,12.3648,9,9.28,30.2056,9,31.95,7.2875,9,6.16,4.9574,9,5.24,17.8153,9,20.55,98.3601,9,98.31,1.6399,9,1.69,100.0,9,100.0,35.7206,9,34.47,64.2794,9,65.53,16.4478,9,15.38,47.6156,9,50.15,36.2244,9,35.98,2.3341,9,2.23,0.0,9,0.0,8.5703,9,11.94,2.99,9,3.52,3.7266,9,2.47,7.6357,9,13.0,1.7822,9,2.23,7.39,9,10.77,1.87,9,1.91,1.6163,9,1.72,0.81,9,1.02,0.3986,9,0.4,0.2538,9,0.29,0.5,9,0.47,0.6088,9,0.68,0.4116,9,0.84,2.4506,9,4.84,0.1839,9,0.16,0.6801,9,0.72,1.529,9,1.84,1.1733,9,1.18,3.9745,9,4.23,91.1984,9,86.22,131.4434,9,113.86,107.8565,9,90.75,0.3043,9,0.27,0.0567,9,0.09,0.0843,9,0.15,0.0557,9,0.09,0.0843,9,0.13,116.0856,9,130.63,6.7739,9,14.07,41.6905,9,47.0
Investigación y desarrollo (72),grandes_medianas,46.1283,9,50.31,53.8717,9,49.69,2.7381,9,2.56,33.1752,9,24.7,19.9141,9,22.43,47.6611,9,53.69,20.6256,9,16.34,1.9443,9,0.91,18.5616,9,15.43,31.8014,9,29.98,4.7877,9,2.46,1.3259,9,0.8,25.4536,9,26.71,95.0789,9,93.55,4.9211,9,6.45,100.0,9,100.0,24.2913,9,20.58,75.7087,9,79.42,25.9071,9,9.94,49.611,9,69.48,29.5943,9,32.31,5.9903,9,6.6,0.0,9,0.0,14.8029,9,30.56,0.7336,9,3.06,0.7057,9,1.26,14.7943,9,32.36,1.1355,9,4.4,13.6714,9,27.96,1.6999,9,1.66,1.627,9,1.57,0.625,9,0.75,0.2985,9,0.28,0.212,9,0.2,0.5256,9,0.46,0.6125,9,0.65,4.8729,9,14.01,20.5829,9,24.21,0.1756,9,0.51,0.7986,9,0.69,1.8644,9,1.38,1.4112,9,1.4,6.0735,9,5.57,59.6725,9,65.5,152.5042,9,129.87,86.2326,9,62.86,0.1412,9,0.1,0.1186,9,0.21,0.23,9,0.36,0.155,9,0.24,0.1943,9,0.35,205.8655,9,205.65,29.0343,9,57.5,62.1088,9,66.45
Investigación y desarrollo (72),pequeñas,55.1492,9,54.65,44.8508,9,45.35,2.2143,9,2.58,19.0899,9,19.44,23.4857,9,23.34,52.0728,9,50.55,22.1428,9,23.51,4.1413,9,3.79,17.836,9,19.72,25.8333,9,25.94,2.8157,9,2.19,2.2485,9,2.05,20.6911,9,21.7,84.319,9,84.51,15.681,9,15.49,100.0,9,100.0,21.3972,9,25.69,78.6028,9,74.31,18.25,9,15.52,59.9529,9,58.78,49.4584,9,49.27,11.2056,9,9.29,0.0,9,0.0,-0.3844,9,0.23,2.3329,9,2.92,3.3643,9,3.56,-2.04,9,-0.41,-1.6982,9,-0.34,-0.3024,9,-0.08,1.7278,9,1.75,1.6389,9,1.65,0.9063,9,0.9,0.5122,9,0.51,0.1886,9,0.19,0.4775,9,0.49,0.52,9,0.52,0.6382,9,0.6,0.0396,9,0.06,0.1971,9,0.23,0.368,9,0.38,0.6589,9,0.69,0.8283,9,0.84,3.6591,9,3.78,99.1775,9,96.66,189.32,9,187.22,136.24,9,82.05,0.1513,9,0.11,-0.0004,9,0.001,-0.0019,9,-0.001,0.0383,9,0.03,0.1114,9,0.09,91.2163,9,103.64,-0.244,9,-0.08,44.4462,9,51.06
"Contabilidad, auditoría y asesoría fiscal (69.2)",grandes_medianas,77.506,9,75.0,22.494,9,25.0,0.4142,9,0.51,7.1556,9,5.28,15.3962,9,19.21,52.9111,9,65.05,22.7752,9,14.15,4.3775,9,2.23,19.386,9,11.92,21.4389,9,20.8,2.4478,9,2.31,3.0224,9,7.94,15.8189,9,10.55,98.0729,9,98.8,1.9271,9,1.2,100.0,9,100.0,14.5182,9,16.94,85.4818,9,83.06,36.6114,9,21.08,49.7171,9,61.98,28.901,9,19.27,2.577,9,1.33,0.0,9,0.0,18.9033,9,41.38,2.8119,9,1.99,5.4407,9,8.28,17.1462,9,35.09,0.2688,9,0.31,18.7378,9,34.79,1.1782,9,1.2,1.1661,9,1.18,0.8551,9,0.92,0.1481,9,0.15,0.03,9,0.04,0.47,9,0.35,0.4801,9,0.6,0.7411,9,1.02,3.6519,9,5.0,0.1633,9,0.23,0.2958,9,0.29,0.3817,9,0.38,1.2698,9,1.15,10.3082,9,9.62,35.9066,9,37.93,92.445,9,66.82,241.7416,9,172.27,0.3371,9,0.44,0.0557,9,0.12,0.1025,9,0.15,0.06,9,0.1,0.1933,9,0.36,203.1883,9,341.29,35.7756,9,118.73,57.7442,9,65.77
"Contabilidad, auditoría y asesoría fiscal (69.2)",pequeñas,75.7989,9,77.49,24.2011,9,22.51,0.9306,9,0.41,5.3733,9,4.83,17.9191,9,17.27,63.8056,9,62.05,20.2623,9,21.04,6.7178,9,4.03,13.6833,9,17.01,15.7922,9,16.91,1.0078,9,0.99,2.3111,9,1.62,12.4722,9,14.29,97.2859,9,97.51,2.7141,9,2.49,100.0,9,100.0,7.5424,9,7.81,92.4576,9,92.19,33.2043,9,34.01,59.3418,9,58.19,44.3288,9,44.24,2.2487,9,2.22,0.0,9,0.0,12.9929,9,11.72,9.7064,9,13.14,5.0921,9,10.82,17.11,9,14.04,1.6572,9,1.5,17.5379,9,12.54,1.597,9,1.33,1.5562,9,1.31,1.1802,9,1.02,0.4061,9,0.24,0.094,9,0.06,0.3622,9,0.38,0.4362,9,0.45,0.455,9,0.6,2.8572,9,1.08,0.12,9,0.44,0.2313,9,0.23,0.3071,9,0.3,0.9611,9,1.03,1.9822,9,4.37,183.99,9,83.49,85.005,9,76.43,206.5889,9,201.21,0.182,9,0.21,0.03,9,0.03,0.0557,9,0.05,0.04,9,0.03,0.1771,9,0.15,93.5444,9,107.37,14.3481,9,13.47,42.148,9,47.5
Consultoría de gestión empresarial (70.2),grandes_medianas,74.71,9,75.89,25.29,9,24.11,0.6218,9,0.75,9.8681,9,9.82,14.3001,9,13.54,59.819,9,61.88,18.6252,9,19.82,6.9531,9,8.53,11.8278,9,11.3,21.5944,9,18.3,2.208,9,1.86,1.6811,9,1.52,17.7133,9,14.91,98.829,9,98.95,1.171,9,1.05,100.0,9,100.0,15.4951,9,10.71,84.5049,9,89.29,28.4409,9,28.55,53.6022,9,60.74,33.2222,9,37.34,2.1233,9,2.05,-0.0299,9,0.0,18.2546,9,21.34,6.4178,9,9.82,5.6526,9,5.12,16.9347,9,26.04,0.6707,9,1.31,16.2533,9,24.73,1.1857,9,1.32,1.1518,9,1.28,0.6784,9,0.74,0.115,9,0.15,0.0384,9,0.06,0.4013,9,0.38,0.5443,9,0.48,0.7611,9,1.05,3.7586,9,4.17,0.217,9,0.2,0.3475,9,0.39,0.4675,9,0.52,1.39,9,1.64,8.8033,9,5.6,44.1263,9,65.17,108.5257,9,90.91,142.0989,9,160.95,0.22,9,0.19,0.0614,9,0.08,0.0938,9,0.16,0.0678,9,0.11,0.1844,9,0.27,156.9766,9,165.84,27.5228,9,41.01,52.913,9,61.93
Consultoría de gestión empresarial (70.2),pequeñas,71.8121,9,69.25,28.1879,9,30.75,1.1188,9,1.14,8.2467,9,10.72,18.1776,9,18.89,68.3152,9,66.93,13.7942,9,14.13,5.2567,9,4.0,8.4805,9,10.13,17.43,9,18.94,1.3848,9,1.75,2.3197,9,2.2,13.5711,9,14.99,96.46,9,95.26,3.54,9,4.74,100.0,9,100.0,18.5929,9,18.51,81.4071,9,81.49,26.659,9,25.22,54.4697,9,56.27,38.2402,9,39.15,2.1898,9,1.87,0.0,9,0.0,14.0843,9,15.24,11.818,9,11.37,3.1305,9,3.33,24.006,9,23.28,1.9156,9,2.52,22.0262,9,20.76,1.5981,9,1.62,1.525,9,1.56,1.0329,9,1.0,0.3366,9,0.31,0.1057,9,0.12,0.3172,9,0.33,0.5589,9,0.57,0.9989,9,1.38,4.8604,9,4.57,0.1166,9,0.2,0.2844,9,0.38,0.3944,9,0.54,1.0322,9,1.23,4.8844,9,6.12,77.3954,9,59.62,105.819,9,103.69,96.0763,9,91.43,0.1671,9,0.16,0.04,9,0.06,0.104,9,0.12,0.074,9,0.09,0.2416,9,0.23,125.9879,9,134.32,28.5168,9,27.88,47.5997,9,52.59
Programación y consultoría informática (62),grandes_medianas,44.1767,9,47.23,55.8233,9,52.77,2.4256,9,2.72,29.0607,9,27.88,23.7054,9,22.17,32.7489,9,39.81,18.8453,9,15.88,5.6973,9,2.05,12.4761,9,13.83,48.3218,9,44.31,7.9522,9,7.38,2.2582,9,2.16,38.7214,9,34.76,98.39,9,98.21,1.61,9,1.79,100.0,9,100.0,26.8329,9,25.6,73.1671,9,74.4,25.3314,9,24.28,47.442,9,50.12,39.7989,9,42.29,4.1144,9,4.22,0.0,9,0.07,3.576,9,3.69,1.2432,9,1.58,1.0423,9,1.56,3.6946,9,3.7,0.8244,9,0.81,2.8744,9,2.89,1.1444,9,1.19,1.0944,9,1.13,0.4912,9,0.5,0.0671,9,0.08,0.07,9,0.08,0.6722,9,0.6,0.7257,9,0.74,0.9448,9,1.81,3.7789,9,2.36,0.1049,9,0.4,1.0286,9,1.07,2.3032,9,2.27,1.844,9,2.03,11.4464,9,10.1,32.1757,9,36.14,104.1943,9,95.0,104.56,9,98.27,0.2729,9,0.26,0.04,9,0.04,0.084,9,0.08,0.0711,9,0.08,0.0689,9,0.07,135.476,9,142.77,3.8811,9,4.12,52.2719,9,60.37
Programación y consultoría informática (62),pequeñas,38.2521,9,41.83,61.7479,9,58.17,2.4326,9,2.23,28.69,9,27.26,30.3056,9,28.68,51.0362,9,53.52,14.7543,9,13.76,6.2956,9,6.14,8.2683,9,7.62,34.2333,9,32.72,6.3317,9,5.04,4.8963,9,3.93,22.9267,9,23.75,98.1526,9,98.04,1.8474,9,1.96,100.0,9,100.0,23.812,9,22.68,76.188,9,77.32,15.9438,9,15.68,60.3711,9,61.64,49.3941,9,49.77,3.2651,9,3.51,0.0,9,0.02,7.898,9,8.37,0.7625,9,1.23,0.9771,9,1.93,7.6033,9,7.68,1.3743,9,1.38,6.2267,9,6.3,1.7999,9,1.78,1.7287,9,1.71,0.8933,9,0.88,0.27,9,0.26,0.272,9,0.25,0.4889,9,0.46,0.6975,9,0.7,0.8456,9,0.95,7.9975,9,4.34,0.0871,9,0.19,1.0122,9,0.98,2.6411,9,2.34,1.66,9,1.68,9.9968,9,9.92,36.5061,9,36.81,103.3167,9,101.83,96.4483,9,83.02,0.224,9,0.18,0.0812,9,0.082,0.1241,9,0.115,0.0982,9,0.096,0.0953,9,0.098,84.8698,9,102.74,5.4689,9,6.47,42.1018,9,51.14
Almacenamiento y anexas al transporte (52),grandes_medianas,78.6044,9,73.29,21.3956,9,26.71,0.5086,9,0.62,9.6722,9,11.92,11.24,9,14.17,44.2568,9,48.55,38.4543,9,29.05,12.5913,9,12.01,24.3239,9,17.04,17.6244,9,22.39,3.5822,9,4.64,2.5203,9,4.32,11.3489,9,13.43,98.683,9,98.73,1.317,9,1.27,100.0,9,100.0,41.4922,9,41.48,58.5078,9,58.52,20.1989,9,23.97,38.3078,9,34.55,14.787,9,15.97,7.4717,9,5.6,0.0,9,0.0,15.83,9,12.98,1.524,9,1.59,3.3771,9,3.24,14.0944,9,11.33,3.0333,9,2.95,11.026,9,8.38,1.22,9,1.19,1.1929,9,1.16,0.6525,9,0.63,0.0757,9,0.06,0.0383,9,0.04,0.5612,9,0.51,0.3167,9,0.44,0.5751,9,0.59,4.5129,9,4.01,0.1086,9,0.14,0.4841,9,0.69,0.6169,9,0.94,2.2852,9,2.58,43.5622,9,45.96,8.4896,9,7.94,70.8281,9,63.02,64.4267,9,59.12,0.3667,9,0.39,0.0767,9,0.09,0.1214,9,0.12,0.09,9,0.1,0.1533,9,0.14,295.9183,9,283.65,33.3249,9,23.76,44.1297,9,45.31
Almacenamiento y anexas al transporte (52),pequeñas,64.7622,9,64.77,35.2378,9,35.23,1.9011,9,1.7,16.8022,9,14.67,16.289,9,18.86,41.9319,9,52.92,31.6733,9,25.63,17.5643,9,12.52,13.5585,9,13.11,24.9011,9,21.45,7.0043,9,5.89,5.1276,9,3.86,12.6407,9,11.7,96.5993,9,97.26,3.4007,9,2.74,100.0,9,100.0,48.6771,9,47.08,51.3229,9,52.92,20.5769,9,19.74,29.8929,9,33.18,19.2409,9,19.48,3.8643,9,3.82,0.0,9,0.0,7.1727,9,9.88,2.2856,9,4.33,2.0543,9,2.23,6.7911,9,11.98,1.3998,9,2.04,6.71,9,9.95,1.4344,9,1.64,1.3588,9,1.56,0.6616,9,0.88,0.16,9,0.21,0.1086,9,0.14,0.584,9,0.47,0.435,9,0.46,0.2918,9,0.54,3.6455,9,4.44,0.0625,9,0.09,0.68,9,0.65,1.0533,9,1.0,1.9239,9,1.83,19.7583,9,17.89,20.6344,9,20.4,90.1067,9,82.89,76.6533,9,70.74,0.4171,9,0.4,0.05,9,0.06,0.09,9,0.12,0.0657,9,0.09,0.092,9,0.14,203.9245,9,219.67,11.6861,9,21.85,38.6333,9,42.79
